ext_id,name,reason,ok,error,size,perms,host_perms,js_len,has_signal,eval_count,atob_count
mdmkabehodbpcdffojgogpnpbnchhobp,???? ???? VPN – ?????????? proxy ? ???? ????,Malware,False,Empty response for extension mdmkabehodbpcdffojgogpnpbnchhob,0,0,0,0,False,0,0
mahkbimdeidncehhgmifbfjgleepeili,Zoog VPN,Malware,False,Empty response for extension mahkbimdeidncehhgmifbfjgleepeil,0,0,0,0,False,0,0
ljgiooimooofpnainkomkifdjjoljmhf,???? VPN,Malware,False,Empty response for extension ljgiooimooofpnainkomkifdjjoljmh,0,0,0,0,False,0,0
ljgbkedboceelipkmakeamahomiidnhj,??? VPN,Malware,False,Empty response for extension ljgbkedboceelipkmakeamahomiidnh,0,0,0,0,False,0,0
lpccdlpnagkhpglgcchidglcnoinhpji,Windflow VPN,Malware,False,Empty response for extension lpccdlpnagkhpglgcchidglcnoinhpj,0,0,0,0,False,0,0
lmccedhnhnfkblpkleipcofcgdkhjjhe,Bye ???-????? ??????????,Malware,False,Empty response for extension lmccedhnhnfkblpkleipcofcgdkhjjh,0,0,0,0,False,0,0
liaebpchgndefkhnkobimopkfbpihdmo,FastVPN — ??????? ? ?????????? VPN,Malware,False,Empty response for extension liaebpchgndefkhnkobimopkfbpihdm,0,0,0,0,False,0,0
lfijlicjjdpcmmfnelpklkiaadiomafe,Wing Proxy — ????????? ????????,Malware,False,Empty response for extension lfijlicjjdpcmmfnelpklkiaadiomaf,0,0,0,0,False,0,0
ldllfgofmbbkpigmbkmofnipjgngiloe,VPN-??????,Malware,False,Empty response for extension ldllfgofmbbkpigmbkmofnipjgngilo,0,0,0,0,False,0,0
lghpenffcbekpbfbiappefgimefaclcm,Chitin VPN — ????????? ?????? ????,Malware,False,Empty response for extension lghpenffcbekpbfbiappefgimefaclc,0,0,0,0,False,0,0
mipfmofneacpfhohdhnhckeicnckiocp,Zaply Seller,Malware,True,,5535563,4,1.0,300024,True,0.0,0.0
ldijhinlhpiiooiknndjjdolhnpihbel,Whale VPN,Malware,False,Empty response for extension ldijhinlhpiiooiknndjjdolhnpihbe,0,0,0,0,False,0,0
