timestamp,extension_id,field,old_value,new_value,confidence,method
2026-08-29T10:21:24,dlpimjmonhbmamocpboifndnnakgknbf,sha256,Not Found,589acb6b8a678b2ddf9ab8e96251def456a7de31bf85a3cd4f47111e32547cd0,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:26,dpfofggmkhdbfcciajfdphofclabnogo,sha256,Not Found,81541197a96f767fe6cebadf2397a2e03a14a4af0a7b15f607cb65f43cd3217f,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:30,ehpgcagmhpndkmglombjndkdmggkgnge,version,Not Confirmed,2.5.1,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:30,ehpgcagmhpndkmglombjndkdmggkgnge,store,Not Confirmed,Chrome,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:30,ehpgcagmhpndkmglombjndkdmggkgnge,date,N/A,8/29/2026,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:30,ehpgcagmhpndkmglombjndkdmggkgnge,reason,Not yet confirmed,Removal reason Unknown,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:31,edlifbnjlicfpckhgjhflgkeeibhhcii,sha256,Not Found,c79a6d8ebc4276d8e5a34841f0bffdc35c4525e90bca2a811ec4e4bbfa436e04,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:31,edlifbnjlicfpckhgjhflgkeeibhhcii,date,N/A,8/29/2026,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:31,edlifbnjlicfpckhgjhflgkeeibhhcii,reason,Not yet confirmed,In store but Suspicious,Low,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:32,eikbfklcjampfnmclhjeifbmfkpkfpbn,version,Not Confirmed,1.3.0,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:32,eikbfklcjampfnmclhjeifbmfkpkfpbn,store,Not Confirmed,Chrome,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:35,emeokgokialpjadjaoeiplmnkjoaegng,version,Not Confirmed,1.3.3,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:35,emeokgokialpjadjaoeiplmnkjoaegng,store,Not Confirmed,Chrome,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:37,ejllkedmklophclpgonojjkaliafeilj,sha256,Not Found,68da0388cff356dfe3416658416431da649a5845586bc4968271418abeefe04b,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:37,ejllkedmklophclpgonojjkaliafeilj,date,N/A,8/29/2026,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:37,ejllkedmklophclpgonojjkaliafeilj,reason,Not yet confirmed,Adware,Medium,XGBoost + Isolation Forest (sandbox unavailable)
2026-08-29T10:21:38,eoeoincjhpflnpdaiemgbboknhkblome,version,Not Confirmed,7.1.21.0,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:38,eoeoincjhpflnpdaiemgbboknhkblome,store,Not Confirmed,Chrome,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:38,eoeoincjhpflnpdaiemgbboknhkblome,date,N/A,8/29/2026,Low,declared capability only (archived manifest — extension delisted)
2026-08-29T10:21:38,eoeoincjhpflnpdaiemgbboknhkblome,reason,Not yet confirmed,Policy Violation,Low,declared capability only (archived manifest — extension delisted)
