L1,L2,L3,L4,L5,L6,label
0.4428,0.7728,0.9062,0.0,0.0,0.2,1
0.6432,0.7034,0.9062,0.0,0.0,0.2,1
0.2314,0.9831,0.0,0.0,0.0,0.2,1
0.0289,0.4765,0.0,0.0,0.0,0.2,0
0.0021,0.2429,0.0,0.0,0.0,0.2,0
0.6432,0.9304,0.9062,0.0,0.0,0.2,1
0.4758,0.1321,0.9062,0.0,0.0,0.2,0
0.0961,0.3976,0.9062,0.0,0.0,0.2,0
0.3287,0.6804,0.9062,0.0,0.0,0.2,1
0.764,0.9124,0.9062,0.0,0.0,0.2,1
0.6424,0.3515,0.9062,0.0,0.0,0.2,0
0.9233,0.6834,0.0,0.0,0.0,0.2,1
0.6432,0.8681,0.9062,0.0,0.0,0.2,1
0.9229,0.4121,0.0,0.0,0.0,0.2,1
0.6424,0.1339,0.0,0.0,0.0,0.2,0
0.9233,0.9743,0.0,0.0,0.0,0.2,1
0.9954,0.9151,0.0,0.0,0.0,0.2,1
0.3,0.5187,0.9062,0.0,0.0,0.2,0
0.3287,0.4655,0.9062,0.0,0.0,0.2,0
0.9947,0.798,0.0,0.0,0.0,0.2,1
0.1976,0.4626,0.9062,0.0,0.0,0.2,0
0.2364,0.8628,0.0,1.0,0.0,0.2,1
0.0013,0.1047,0.0,0.0,0.0,0.2,0
0.35,0.1974,0.0,0.0,0.0,0.2,0
0.0559,0.1982,0.0,0.0,0.0,0.2,0
0.7028,0.1184,0.9062,0.0,0.0,0.2,0
0.9703,0.9698,0.0,0.0,0.0,0.2,1
0.9937,0.9591,0.0,0.0,0.0,0.2,1
0.55,0.129,0.0,0.0,0.0,0.2,0
0.6432,0.5157,0.9062,0.0,0.0,0.2,1
0.6432,0.205,0.9062,0.0,0.0,0.2,0
0.9993,0.3237,0.0,0.0,0.0,0.2,1
0.1955,0.4169,0.9062,0.0,0.0,0.2,0
0.0025,0.1289,0.0,0.0,0.0,0.2,0
0.4295,0.9034,0.9062,0.0,0.0,0.2,0
0.2693,0.0873,0.9062,0.0,0.0,0.2,0
0.0828,0.1045,0.9062,0.0,0.0,0.2,0
0.9141,0.9715,0.0,0.0,0.0,0.2,1
0.9655,0.9984,0.0,0.0,0.0,0.2,1
0.9925,0.9955,0.9062,0.0,0.0,0.2,1
0.9934,0.991,0.0,0.0,0.0,0.65,1
0.6424,0.9996,0.9062,0.0,0.0,0.65,1
0.9901,0.7697,0.0,0.0,0.0,0.65,1
0.9945,0.6807,0.9062,0.0,0.0,0.65,1
0.9826,0.9996,0.0,0.0,0.0,0.65,1
0.9994,0.8175,0.9062,0.0,0.0,0.65,1
0.996,0.9853,0.0,0.0,0.0,0.65,1
0.8127,1.0,0.9062,0.0,0.0,0.65,1
0.9962,0.9952,0.0,0.0,0.0,0.65,1
0.9756,0.9121,0.0,0.0,0.0,0.65,1
0.9464,0.096,0.0,0.0,0.0,0.65,1
0.9966,0.4655,0.0,0.85,0.0,0.65,1
0.9967,0.9917,0.0,0.0,0.0,0.65,1
0.999,0.7208,0.0,0.85,0.0,0.65,1
