n_iframes,has_fixed_iframe,max_zindex,full_viewport,drag_prevent,n_forms,n_inputs,n_pw_inputs,n_hidden_inputs,n_ext_scripts,form_ext_action,title_brand,favicon_brand,has_overlay,has_redirect,html_size_kb,label
0,0,30,0,0,1,10,0,0,0,0,0,0,0,0,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,2,4,0,3,2,0,0,0,0,0,38,0
0,0,0,0,0,2,12,0,7,9,0,0,0,0,0,1437,0
0,0,0,0,0,2,5,0,0,23,1,0,0,0,0,81,0
0,0,0,0,0,1,2,0,0,3,0,0,1,1,1,230,0
2,0,0,0,0,2,9,1,4,0,0,0,0,1,1,94,0
0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,132,0
9,1,9999,1,1,1,4,1,0,2,1,0,1,1,0,36,1
0,0,0,0,0,1,13,2,7,0,0,1,1,0,1,37,1
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,22,0
4,0,0,0,1,11,59,0,31,3,0,0,0,0,1,203,0
4,0,0,0,0,3,7,2,0,0,0,1,1,1,1,379,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1100,1,1,0,1,0,0,0,0,0,0,0,0,56,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,0
0,0,0,0,0,5,147,0,3,7,0,0,0,1,0,870,0
0,0,0,0,0,2,6,0,2,0,0,0,0,1,0,53,0
0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,3,1
0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,67,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,1
0,0,100,0,0,1,10,0,1,0,0,0,0,0,0,64,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0
1,1,9999,1,1,2,2,0,0,3,0,1,0,1,1,1730,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,9999,1,0,2,20,0,12,9,0,0,0,1,0,443,0
6,1,9999,0,0,3,8,0,3,9,0,0,0,1,0,57,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0
3,0,9999,1,0,0,1,0,1,2,0,0,0,1,1,109,0
0,0,200,1,1,5,21,0,0,3,0,0,0,1,0,420,0
0,0,0,0,0,3,4,0,0,3,0,0,0,1,1,67,0
0,0,0,0,1,1,3,1,1,0,0,1,0,0,0,2,1
0,0,0,0,0,1,24,1,12,2,0,0,0,0,0,23,1
0,0,0,0,0,1,2,0,1,4,0,0,0,0,0,25,1
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,145,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,56,0
0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,7,1
1,0,100,1,0,2,12,0,6,5,0,0,0,0,1,246,0
0,0,0,0,0,2,5,0,1,3,0,0,0,1,0,23,0
0,0,0,0,0,1,8,1,4,0,0,0,0,0,0,8,1
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,0,200,1,0,1,5,1,0,0,0,1,1,0,0,18,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,1,0,1,4,1,0,0,0,0,0,0,0,48,1
0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,58,0
0,0,800,1,1,0,9,1,3,0,0,0,1,0,1,60,1
0,0,999,1,0,1,1,0,0,7,0,0,0,0,0,41,0
1,0,9999,0,0,1,6,0,0,2,0,0,1,1,0,42,0
1,0,2000,0,0,0,0,0,0,1,0,0,0,1,1,52,0
0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,166,0
0,0,0,0,0,2,4,1,2,0,0,0,0,0,0,13,1
0,0,0,0,0,1,5,1,1,3,0,1,0,0,0,3,1
0,0,0,0,0,3,26,3,6,0,0,0,0,1,1,100,1
0,0,9999,1,0,5,22,0,0,1,0,0,1,1,0,464,0
0,0,0,0,0,2,7,0,2,14,0,0,0,0,0,72,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,28,159,0,143,12,1,0,0,1,0,132,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0
0,0,6,1,1,0,0,0,0,0,0,1,0,1,1,329,0
0,0,0,1,0,2,5,0,1,7,1,0,0,0,1,105,0
